SID,cellType,Centroid_X,Centroid_Y
1,4,374,781
1,7,697,675
1,1,411,125
1,6,238,587
1,6,79,280
1,2,650,81
1,12,12,290
1,7,743,694
1,5,235,230
1,12,631,555
1,6,637,611
1,12,41,321
1,2,729,465
1,12,546,492
1,6,579,680
1,9,145,571
1,7,301,381
1,2,73,247
1,7,636,100
1,3,441,326
1,4,136,660
1,6,175,585
1,12,427,72
1,2,737,193
1,8,430,181
1,2,700,707
1,7,427,112
1,3,399,775
1,4,212,223
1,10,528,215
1,8,668,607
1,4,528,508
1,10,433,140
1,9,188,344
1,8,201,711
1,1,9,728
1,4,767,364
1,11,740,39
1,11,571,345
1,7,662,667
1,10,556,305
1,1,31,139
1,10,588,481
1,5,490,321
1,11,113,395
1,6,308,377
1,9,190,607
1,1,199,218
1,5,279,484
1,3,441,266
1,3,153,449
1,7,219,621
1,10,136,330
1,2,725,430
1,7,418,712
1,10,489,463
1,12,129,544
1,7,261,223
1,1,694,163
1,1,656,337
1,7,470,341
1,12,544,169
1,3,130,207
1,12,249,260
1,3,626,288
1,5,125,573
1,2,273,298
1,7,317,30
1,3,509,709
1,4,77,468
1,6,759,51
1,3,645,258
1,3,661,777
1,1,317,584
1,3,634,481
1,8,409,426
1,8,114,713
1,3,522,90
1,11,334,648
1,5,38,648
1,2,456,636
1,12,698,535
1,1,462,196
1,3,610,189
1,10,582,594
1,6,504,1
1,6,277,370
1,11,602,196
1,1,636,694
1,1,237,186
1,11,479,657
1,8,570,361
1,8,703,594
1,3,178,781
1,8,503,312
1,1,242,618
1,9,72,406
1,5,72,146
1,11,93,713
1,7,735,305
1,12,266,771
1,12,697,693
1,8,713,513
1,9,436,571
1,9,54,636
1,12,164,771
1,8,773,636
1,10,692,409
1,11,359,97
1,8,586,508
1,12,343,324
1,4,564,538
1,7,388,283
1,1,763,544
1,6,423,609
1,12,184,15
1,8,282,550
1,10,481,174
1,6,280,438
1,2,674,745
1,8,712,596
1,1,362,23
1,3,428,324
1,12,564,651
1,1,480,674
1,2,18,748
1,9,722,461
1,8,38,1
1,4,224,233
1,12,454,662
1,1,445,226
1,1,18,168
1,1,694,368
1,10,7,169
1,4,429,39
1,4,169,360
1,4,488,513
1,4,633,29
1,9,65,399
1,11,11,85
1,9,613,29
1,7,684,659
1,8,526,55
1,8,564,748
1,9,305,663
1,7,270,130
1,6,611,376
1,1,351,479
1,4,610,239
1,3,127,395
1,2,46,327
1,3,251,53
1,4,478,760
1,2,481,354
1,12,712,75
1,11,684,3
1,9,632,35
1,4,707,159
1,7,173,208
1,4,620,172
1,2,609,429
1,2,144,643
1,12,545,718
1,7,164,380
1,3,110,203
1,1,342,58
1,6,382,706
1,11,160,594
1,6,711,517
1,3,126,358
1,6,249,298
1,3,95,214
1,10,474,592
1,3,763,628
1,12,648,563
1,2,121,219
1,5,163,229
1,9,244,14
1,5,428,150
1,3,103,475
1,10,274,502
1,9,307,229
1,7,137,122
1,7,497,161
1,8,197,447
1,7,745,716
1,9,714,770
1,4,578,252
1,3,645,627
1,11,371,128
1,7,418,213
1,12,62,264
1,3,320,74
1,1,414,457
1,2,2,757
1,3,413,447
1,6,235,88
1,5,247,435
1,8,28,674
1,11,631,460
1,4,445,158
1,4,151,196
1,10,258,778
1,11,356,16
1,9,430,716
1,1,616,307
1,5,396,549
1,2,61,401
1,12,525,31
1,3,180,33
1,1,293,266
1,11,568,24
1,1,447,510
1,12,8,484
1,11,530,163
1,6,39,237
1,1,152,674
1,3,41,732
1,1,47,360
1,8,599,220
1,4,272,739
1,5,480,157
1,7,398,692
1,10,174,126
1,6,770,117
1,6,385,617
1,3,286,482
1,3,668,438
1,12,596,319
1,1,364,616
1,2,291,305
1,7,4,165
1,11,280,43
1,11,565,689
1,3,372,661
1,3,173,622
1,11,135,253
1,7,1,763
1,9,380,523
1,8,680,284
1,4,752,615
1,9,366,638
1,4,598,384
1,7,161,79
1,6,15,187
1,8,107,382
1,2,541,714
1,8,498,239
1,10,445,551
1,3,130,620
1,7,65,301
1,7,500,182
1,1,546,128
1,11,590,345
1,7,274,272
1,1,341,557
1,12,332,648
1,2,523,525
1,1,423,85
1,12,79,227
1,3,623,125
1,12,61,751
1,1,215,252
1,1,270,111
1,10,410,65
1,10,709,18
1,5,60,776
1,2,204,398
1,1,259,485
1,4,125,101
1,12,96,36
1,6,210,419
1,1,588,369
1,3,257,492
1,9,509,154
1,1,335,568
1,5,308,273
1,1,768,332
1,1,390,379
1,6,375,64
1,4,327,489
1,10,187,5
1,8,725,492
1,12,167,26
1,1,625,419
1,7,326,278
1,3,463,660
1,12,618,329
1,1,421,451
1,9,212,679
1,1,68,11
1,3,569,744
1,2,536,352
1,1,185,431
1,6,553,293
1,10,610,516
1,9,155,241
1,8,174,304
1,6,431,103
1,6,354,33
1,11,522,300
1,8,766,113
1,1,748,162
1,9,48,89
1,7,686,391
1,7,112,90
1,7,457,123
1,1,673,30
1,11,65,662
1,11,5,462
1,3,344,241
1,12,599,110
1,6,505,581
1,6,717,770
1,10,405,457
1,1,241,381
1,2,762,160
1,4,117,450
1,1,127,58
1,11,50,29
1,8,370,182
1,11,46,584
1,9,543,23
1,1,2,533
1,9,499,38
1,5,477,500
1,2,598,350
1,12,230,382
1,1,253,40
1,12,379,355
1,7,243,200
1,12,341,321
1,3,50,731
1,3,273,425
1,2,673,430
1,11,553,0
1,4,17,132
1,3,462,86
1,6,410,93
1,6,400,753
1,8,96,568
1,4,184,252
1,6,764,644
1,1,453,176
1,5,23,485
1,6,259,254
1,10,519,552
1,11,327,605
1,6,620,425
1,1,134,87
1,10,452,689
1,8,515,449
1,1,225,152
1,8,701,256
1,5,150,320
1,12,123,494
1,4,372,300
1,1,227,638
1,12,300,72
1,9,173,588
1,3,85,339
1,12,405,692
1,2,57,138
1,1,422,688
1,11,169,453
1,6,359,374
1,3,687,726
1,1,445,91
1,2,531,671
1,2,351,550
1,11,664,243
1,11,137,432
1,2,615,332
1,6,215,231
1,2,672,450
1,2,611,176
1,5,326,335
1,8,96,268
1,12,205,280
1,8,427,90
1,1,442,444
1,3,428,8
1,5,53,679
1,9,543,137
1,6,113,735
1,1,334,81
1,10,680,76
1,5,682,223
1,3,386,607
1,4,55,329
1,8,82,528
1,10,261,650
1,10,742,86
1,12,677,627
1,3,22,138
1,7,193,530
1,6,237,406
1,7,298,582
1,3,549,536
1,3,774,574
1,2,706,700
1,6,154,757
1,3,524,108
1,8,211,344
1,5,309,662
1,2,95,716
1,11,573,496
1,5,587,517
1,3,616,439
1,3,264,522
1,9,53,749
1,2,657,708
1,1,293,370
1,8,550,163
1,11,249,544
1,7,307,107
1,2,644,361
1,6,712,616
1,2,48,249
1,5,73,776
1,11,319,714
1,2,524,57
1,5,67,224
1,3,757,241
1,12,442,415
1,10,104,627
1,10,324,28
1,8,730,522
1,5,237,215
1,8,521,242
1,9,454,395
1,1,583,110
1,8,453,44
1,2,277,97
1,1,606,327
1,8,467,511
1,5,725,498
1,3,243,546
1,3,544,530
1,1,424,52
1,11,215,205
1,9,112,140
1,6,2,440
1,11,235,464
1,1,721,62
1,11,432,673
1,8,709,48
1,2,342,11
1,5,537,120
1,1,366,248
1,7,203,250
1,9,195,674
1,4,654,490
1,9,574,240
1,10,471,152
1,2,463,56
1,3,72,66
1,1,71,658
1,1,615,500
1,2,212,620
1,6,264,683
1,3,729,34
1,3,720,578
1,2,252,305
1,1,188,465
1,8,309,678
1,2,505,219
1,11,407,470
1,2,65,774
1,5,484,761
1,10,633,109
1,1,326,764
1,4,599,649
1,1,410,165
1,7,574,352
1,11,221,647
1,6,471,186
1,1,417,616
1,12,224,361
1,1,323,6
1,2,226,263
1,11,653,623
1,10,138,782
1,5,606,780
1,7,422,498
1,6,366,2
1,6,308,155
1,12,364,689
1,5,613,108
1,2,519,653
1,6,158,264
1,4,162,31
1,1,146,489
1,11,291,287
1,2,635,223
1,9,776,131
1,8,301,194
1,1,30,172
1,7,711,229
1,8,401,35
1,7,749,725
1,11,455,684
1,1,721,143
1,6,711,478
1,1,402,486
1,9,67,213
1,8,335,204
1,2,709,621
1,7,686,481
1,9,537,22
1,3,680,58
1,4,688,755
1,8,701,163
1,5,153,224
1,1,227,112
1,2,511,185
1,5,163,630
1,11,259,444
1,3,82,673
1,12,304,510
1,9,431,138
1,2,322,251
1,1,413,599
1,4,242,287
1,6,663,718
1,4,252,763
1,9,750,12
1,9,100,131
1,9,151,393
1,10,722,199
1,10,541,704
1,1,142,215
1,3,121,706
1,10,290,768
1,8,45,523
1,2,675,272
1,4,293,500
1,12,747,91
1,9,568,361
1,8,211,128
1,11,745,757
1,4,39,2
1,10,216,708
1,11,588,727
1,2,298,760
1,4,56,330
1,3,364,256
1,5,203,298
1,3,212,612
1,10,489,244
1,11,96,576
1,6,594,4
1,3,175,111
1,5,621,337
1,6,108,474
1,5,425,20
1,11,743,311
1,10,275,153
1,7,476,647
1,12,617,629
1,11,17,553
1,9,312,520
1,8,469,344
1,4,365,547
1,2,25,432
1,6,552,8
1,12,573,331
1,11,722,299
1,1,163,741
1,10,514,749
1,1,281,775
1,7,641,630
1,6,297,563
1,9,40,684
1,7,280,636
1,1,678,47
1,12,260,582
1,6,304,450
1,10,441,301
1,10,256,572
1,1,363,592
1,11,381,1
1,2,320,191
1,10,767,264
1,2,229,401
1,4,141,399
1,1,483,649
1,2,667,106
1,4,192,749
1,12,418,136
1,12,732,41
1,2,346,281
1,3,636,235
1,3,181,386
1,2,299,549
1,5,242,468
1,6,681,279
1,4,307,169
1,12,558,564
1,7,4,126
1,3,502,581
1,3,367,736
1,12,461,131
1,8,522,608
1,7,153,144
1,8,13,620
1,3,680,400
1,6,97,531
1,2,82,651
1,12,107,59
1,6,487,222
1,2,95,591
1,1,466,604
1,1,20,328
1,4,185,734
1,2,199,333
1,3,590,617
1,6,341,465
1,9,40,493
1,2,243,503
1,4,410,83
1,1,653,609
1,1,483,676
1,7,560,756
1,2,370,140
1,9,158,505
1,1,462,167
1,5,255,105
1,11,643,440
1,12,587,656
1,10,648,145
1,7,608,294
1,4,701,362
1,10,642,760
1,1,677,733
1,1,319,406
1,6,349,555
1,4,187,4
1,1,257,540
1,10,70,263
1,2,344,35
1,1,124,163
1,6,260,718
1,3,482,661
1,11,126,171
1,4,335,85
1,1,330,227
1,1,537,615
1,6,356,29
1,5,317,305
1,8,249,158
1,5,1,520
1,4,165,403
1,8,356,41
1,2,149,712
1,3,751,290
1,6,658,549
1,3,252,634
1,2,440,310
1,8,614,719
1,5,637,354
1,4,758,122
1,9,438,197
1,1,392,205
1,1,740,249
1,7,143,312
1,8,617,526
1,2,405,433
1,3,176,95
1,4,542,540
1,3,563,103
1,6,174,258
1,10,568,712
1,6,435,433
1,5,762,729
1,6,250,646
1,5,390,738
1,3,550,238
1,8,664,122
1,11,359,331
1,5,170,741
1,8,613,586
1,12,26,399
1,3,202,424
1,1,119,306
1,4,195,183
1,3,677,489
1,3,319,129
1,1,76,442
1,4,428,767
1,8,656,351
1,10,358,437
1,12,450,392
1,2,110,647
1,10,244,87
1,10,381,251
1,4,551,437
1,10,557,281
1,5,661,21
1,6,10,527
1,9,173,137
1,2,580,609
1,7,330,310
1,7,625,196
1,9,177,311
1,12,108,539
1,10,497,709
1,7,30,359
1,12,91,2
1,12,594,194
1,6,116,570
1,7,51,384
1,1,550,748
1,8,602,652
1,2,434,2
1,1,374,366
1,11,479,383
1,10,220,379
1,11,771,339
1,10,429,564
1,9,244,401
1,8,547,514
1,7,610,117
1,10,27,469
1,3,761,387
1,10,175,624
1,6,223,756
1,4,331,231
1,11,141,777
1,12,478,598
1,1,388,326
1,2,36,761
1,9,453,704
1,6,440,151
1,5,392,518
1,1,740,167
1,3,729,690
1,1,532,40
1,4,36,167
1,4,590,465
1,1,201,88
1,12,453,637
1,6,725,359
1,2,377,62
1,10,477,40
1,9,610,83
1,12,420,678
1,1,363,4
1,8,91,62
1,6,520,191
1,2,348,708
1,4,495,309
1,2,27,322
1,3,429,373
1,2,83,669
1,1,538,715
1,11,174,406
1,7,251,163
1,1,158,663
1,8,36,481
1,8,631,682
1,10,458,192
1,8,71,683
1,7,558,234
1,3,400,139
1,7,226,134
1,12,104,715
1,4,286,58
1,12,519,206
1,3,653,492
1,2,230,522
1,12,570,284
1,10,194,695
1,9,506,744
1,1,261,9
1,10,352,349
1,4,110,183
1,3,330,544
1,1,260,377
1,5,261,333
1,9,405,723
1,6,344,757
1,11,39,48
1,2,636,432
1,2,506,603
1,1,404,694
1,6,611,641
1,5,773,639
1,1,531,779
1,1,256,310
1,1,504,568
1,9,478,226
1,8,528,27
1,2,68,247
1,4,526,661
1,6,430,117
1,7,167,94
1,1,166,131
1,11,569,470
1,3,287,350
1,8,686,251
1,3,396,149
1,2,381,129
1,10,552,314
1,1,118,630
1,12,702,40
1,4,531,133
1,6,732,476
1,4,580,296
1,5,198,445
1,7,144,778
1,8,670,36
1,6,767,454
1,4,533,327
1,3,408,392
1,7,264,657
1,3,323,549
1,1,436,639
1,3,605,81
1,4,645,436
1,3,731,232
1,1,364,505
1,8,586,644
1,6,616,480
1,8,310,593
1,9,290,250
1,9,191,296
1,8,93,432
1,3,331,630
1,10,379,688
1,1,530,233
1,9,688,191
1,2,140,597
1,7,19,525
1,8,777,502
1,5,316,21
1,4,404,137
1,1,763,294
1,1,167,10
1,6,381,645
1,1,420,447
1,11,127,466
1,8,337,34
1,6,45,31
1,10,320,561
1,5,563,459
1,2,242,740
1,6,165,292
1,10,306,534
1,2,729,129
1,1,412,266
1,5,584,17
1,4,736,267
1,1,471,180
1,6,670,323
1,2,329,777
1,4,276,338
1,1,483,258
1,4,339,176
1,4,270,4
1,9,550,83
1,12,234,389
1,1,120,552
1,8,646,377
1,4,320,643
1,8,473,758
1,12,432,760
1,10,269,22
1,2,441,305
1,10,368,752
1,7,75,415
1,3,449,499
1,9,87,189
1,2,642,413
1,1,593,439
1,3,694,31
1,3,126,618
1,4,234,433
1,2,52,338
1,3,164,148
1,1,509,58
1,2,150,30
1,5,353,700
1,9,610,496
1,1,285,502
1,5,96,196
1,8,238,425
1,5,203,642
1,3,88,304
1,10,667,611
1,10,542,116
1,12,636,690
1,7,185,629
1,1,98,486
1,1,110,389
1,12,680,517
1,7,66,714
1,1,383,417
1,1,530,451
1,3,40,14
1,5,584,513
1,3,31,638
1,11,460,686
1,3,395,488
1,4,311,383
1,6,268,681
1,9,767,425
1,4,378,286
1,11,531,488
1,2,198,625
1,11,365,457
1,12,573,430
1,3,232,511
1,5,6,313
1,3,491,489
1,12,710,665
1,1,593,361
1,5,374,389
1,12,452,489
1,3,4,243
1,3,648,358
1,2,687,269
1,5,666,599
1,8,680,364
1,4,483,550
1,9,755,405
1,4,244,585
1,2,474,170
1,11,12,651
1,8,456,671
1,6,118,312
1,4,693,397
1,2,300,213
1,4,303,454
1,2,104,257
1,7,774,725
1,1,772,245
1,5,247,123
1,8,32,134
1,5,538,590
1,2,685,92
1,5,631,715
1,12,409,6
1,6,54,267
1,1,274,20
1,2,88,337
1,11,308,620
1,4,695,187
1,11,175,85
1,10,152,58
1,1,535,427
1,6,285,588
1,5,415,38
1,2,86,530
1,7,723,159
1,1,729,762
1,5,641,481
1,1,371,733
1,8,257,655
1,5,473,594
1,9,706,197
1,10,493,645
1,10,489,406
1,2,582,29
1,4,521,71
1,7,363,748
1,8,503,708
1,9,690,436
1,3,413,418
1,2,210,249
1,8,538,86
1,1,660,94
1,12,381,285
1,2,716,755
1,2,266,151
1,11,616,155
1,2,587,645
1,5,101,306
1,11,313,548
1,1,374,491
1,4,21,176
1,9,91,13
1,7,293,620
1,2,157,78
1,2,232,585
1,2,59,538
1,3,305,707
1,2,217,759
1,2,72,92
1,12,592,750
1,9,551,537
1,2,603,519
1,2,550,699
1,3,472,215
1,10,310,572
1,10,38,127
1,12,402,766
1,2,658,3
1,1,696,12
1,9,460,184
1,11,630,198
1,6,719,60
1,7,402,204
1,4,471,693
1,7,512,414
1,12,138,665
1,1,282,51
1,9,677,195
1,12,312,480
1,1,546,135
1,3,323,206
1,10,498,57
1,3,11,578
1,9,775,641
1,3,11,370
1,4,562,464
1,12,664,71
1,12,38,651
1,1,569,98
1,1,741,37
1,1,618,622
1,6,471,422
1,7,351,265
1,9,602,184
1,1,437,396
1,9,254,494
1,7,396,127
1,2,773,344
1,6,480,488
1,9,723,190
1,3,431,3
1,1,752,208
1,12,348,24
1,7,448,599
1,1,429,423
1,3,132,240
1,4,164,448
1,4,452,670
1,2,658,646
1,2,18,751
1,6,559,480
1,11,317,473
1,3,476,222
1,4,417,701
1,11,413,426
1,3,146,562
1,5,246,612
1,5,764,307
1,11,498,517
1,12,461,533
1,7,711,533
1,4,546,777
1,12,421,223
1,1,557,682
1,6,630,738
1,3,431,361
1,2,423,17
1,9,168,554
1,2,604,140
1,4,79,193
1,8,204,578
1,12,498,344
1,6,334,593
1,7,640,382
1,8,167,487
1,7,630,489
1,2,683,343
1,8,258,196
1,1,55,165
1,10,469,117
1,7,640,65
1,4,56,352
1,6,20,253
1,9,662,420
1,5,473,150
1,12,564,56
1,1,507,405
1,2,659,680
1,12,626,324
1,4,530,26
1,11,82,372
1,6,426,78
1,1,235,684
1,3,311,70
1,2,91,35
1,2,152,212
1,10,503,354
1,1,443,193
1,7,331,404
1,6,54,58
1,12,416,422
1,12,746,375
1,7,299,408
1,1,157,220
1,12,237,551
1,2,280,457
1,6,768,648
1,4,57,154
1,2,539,529
1,10,670,646
1,8,602,306
1,2,523,268
1,10,733,176
1,4,501,753
1,1,528,533
1,12,429,596
1,2,616,37
1,4,43,708
1,7,94,309
1,10,770,456
1,7,497,753
1,12,491,312
1,3,139,302
1,7,312,96
1,12,135,545
1,12,130,481
1,1,185,329
1,8,347,488
1,11,639,455
1,10,133,544
1,3,104,574
1,11,419,413
1,10,609,93
1,7,553,505
1,4,277,466
1,2,199,491
1,1,731,137
1,4,187,742
1,11,639,587
1,11,464,688
1,3,662,629
1,10,594,205
1,7,155,271
1,3,152,727
1,5,314,251
1,5,383,299
1,10,39,350
1,4,512,632
1,2,108,368
1,12,24,725
1,12,770,173
1,8,498,209
1,4,695,181
1,8,531,36
1,12,660,73
1,11,360,57
1,4,245,555
1,6,10,256
1,8,711,521
1,10,732,327
1,3,529,447
1,6,36,266
1,8,502,442
1,6,264,48
1,8,481,378
1,4,295,231
1,4,581,526
1,1,352,607
1,11,35,780
1,1,225,307
1,1,480,726
1,5,280,435
1,1,726,335
1,7,780,192
1,2,34,91
1,2,387,254
1,9,222,525
1,1,617,661
1,2,276,735
1,1,466,64
1,4,748,373
1,8,257,220
1,4,367,388
1,2,499,263
1,11,319,578
1,6,48,423
1,10,413,617
1,10,231,627
1,10,559,218
1,1,572,456
1,5,162,195
1,10,254,145
1,6,649,80
1,3,199,78
1,8,461,687
1,11,188,208
1,5,533,127
1,11,615,431
1,2,517,415
1,4,657,350
1,9,331,214
1,8,407,263
1,5,434,37
1,11,690,296
1,7,268,81
1,2,5,141
1,3,523,202
1,3,231,13
1,3,462,277
1,12,209,540
1,8,210,673
1,1,346,142
1,6,725,285
1,7,753,275
1,6,17,99
1,6,72,340
1,1,651,601
1,6,583,443
1,5,473,140
1,9,146,648
1,5,474,87
1,10,675,231
1,11,355,752
1,5,289,583
1,11,262,42
1,3,779,84
1,1,409,134
1,8,131,100
1,11,482,726
1,11,457,406
1,7,705,195
1,8,213,63
1,11,177,302
1,10,776,297
1,3,562,2
1,12,76,26
1,5,577,160
1,7,61,58
1,1,22,486
1,2,621,707
1,6,513,35
1,11,274,393
1,10,208,584
1,5,411,179
1,5,473,640
1,6,484,348
1,1,488,592
1,11,351,514
1,3,468,597
1,4,527,684
1,2,486,427
1,3,408,537
1,1,363,230
1,6,663,295
1,11,474,649
1,1,225,673
1,1,145,537
1,3,272,593
1,1,545,549
1,2,436,336
1,2,737,496
1,2,205,141
1,4,193,535
1,3,54,251
1,9,742,218
1,6,622,609
1,8,77,607
1,10,480,100
1,2,153,165
1,1,481,752
1,1,404,781
1,2,589,713
1,2,99,117
1,5,695,269
1,2,502,441
1,9,402,400
1,2,569,88
1,8,646,574
1,3,377,196
1,7,106,305
1,9,262,711
1,9,248,251
1,1,267,414
1,8,164,553
1,4,590,645
1,1,411,312
1,11,182,16
1,2,264,488
1,3,717,21
1,6,627,575
1,4,542,776
1,10,557,729
1,11,750,18
1,12,188,187
1,4,627,433
1,1,424,473
1,6,643,90
1,3,474,19
1,9,584,610
1,3,25,465
1,6,559,241
1,4,717,693
1,9,66,411
1,6,197,314
1,1,393,0
1,7,89,130
1,6,126,400
1,9,52,410
1,9,673,410
1,8,501,235
1,4,629,8
1,10,149,721
1,8,390,284
1,8,0,466
1,12,591,493
1,4,108,227
1,1,186,753
1,1,270,246
1,2,275,720
1,2,492,609
1,8,276,167
1,5,615,753
1,2,327,695
1,9,18,93
1,3,334,21
1,1,223,141
1,8,209,155
1,1,407,323
1,11,462,75
1,2,209,206
1,4,567,40
1,3,234,128
1,11,535,243
1,12,229,737
1,1,608,660
1,10,682,104
1,1,754,131
1,2,499,420
1,1,537,86
1,10,77,513
1,6,277,482
1,7,686,320
1,1,387,613
1,6,221,700
1,7,391,370
1,10,589,722
1,4,86,192
1,7,506,494
1,1,80,317
1,6,337,256
1,10,515,627
1,3,323,91
1,11,617,122
1,8,753,45
1,2,765,714
1,6,343,358
1,1,287,42
1,9,17,479
1,1,720,147
1,8,134,521
1,6,653,515
1,10,205,17
1,11,600,508
1,5,740,661
1,3,589,452
1,10,27,536
1,4,550,112
1,5,488,339
1,8,514,620
1,3,89,665
1,7,638,467
1,6,525,79
1,8,735,229
1,1,360,671
1,12,417,534
1,6,756,441
1,2,408,161
1,1,618,434
1,5,526,716
1,11,394,178
1,2,21,122
1,5,43,383
1,4,313,96
1,2,55,627
1,3,670,397
1,4,126,170
1,5,490,110
1,1,349,259
1,1,556,737
1,8,84,200
1,7,60,157
1,2,565,603
1,2,270,569
1,12,204,655
1,9,331,83
1,1,58,198
1,11,556,591
1,1,623,720
1,5,572,17
1,3,624,747
1,2,500,403
1,3,119,747
1,11,298,474
1,1,734,256
1,2,733,200
1,3,225,25
1,1,746,777
1,10,401,640
1,8,590,111
1,3,507,766
1,4,182,728
1,8,634,598
1,7,648,24
1,5,759,66
1,5,527,604
1,2,477,170
1,4,239,153
1,9,155,404
1,3,179,524
1,1,330,559
1,5,519,516
1,2,545,271
1,12,83,468
1,7,566,52
1,9,225,660
1,6,140,391
1,2,126,559
1,6,663,555
1,8,509,111
1,7,481,425
1,6,384,207
1,10,527,483
1,4,596,623
1,8,41,561
1,5,447,345
1,6,29,631
1,1,40,682
1,10,695,23
1,2,554,760
1,7,219,721
1,1,658,214
1,3,713,676
1,1,508,34
